#{"t_start": 1650012600.3294065, "env_id": "A1GymEnv-v1"}
r,l,t
1.359107,36,34.411926
3.791196,64,34.519987
0.036623,32,34.582597
1.88562,49,34.696569
0.943116,36,34.757865
1.089691,30,34.80925
4.696797,131,35.060138
0.784845,35,35.119687
-0.642686,54,35.238317
0.910296,35,35.298029
0.197786,26,35.34131
0.24254,42,35.438456
0.889587,43,35.509039
0.702105,43,35.579573
1.590385,33,35.657865
0.452985,17,35.686688
0.69781,30,35.737506
0.831911,32,35.790401
1.092119,39,35.880293
1.997915,46,35.95969
0.09552,14,35.983684
2.452099,39,36.050375
0.256489,37,36.137958
0.186089,16,36.166099
0.440353,48,36.24947
1.21493,37,36.31322
0.602292,52,36.425204
0.358978,44,36.506456
0.076289,46,36.605134
1.476442,33,36.663355
0.197076,31,36.714439
1.861954,42,36.78274
0.619214,33,36.86044
4.671935,74,36.982104
0.838603,56,37.105809
-1.252754,94,37.262015
1.17964,45,37.36132
0.656464,46,37.436212
0.468118,34,37.492199
0.938533,41,37.584582
0.491923,67,37.696366
1.703772,40,37.762618
0.096722,42,37.860661
0.662882,32,37.91421
1.233498,44,37.988612
-0.031099,45,38.091046
0.493812,28,38.138391
0.169682,38,38.202839
1.817118,54,38.318365
0.679758,39,38.388656
0.389192,16,38.414737
0.067868,38,38.477528
2.674121,49,38.582038
0.270885,34,38.637973
1.146175,59,38.765882
0.156343,26,38.809076
1.500246,41,38.876829
0.797048,43,38.947635
1.038413,44,39.044785
1.154246,31,39.097157
0.280057,40,39.1656
-0.80691,41,39.265473
0.080036,28,39.312684
0.135182,26,39.357547
0.895673,31,39.410829
-0.201651,41,39.504434
-1.067856,102,39.678728
2.182492,55,39.796373
-0.613058,43,39.8705
1.512423,49,39.977247
-0.243762,25,40.021
0.113927,35,40.082675
0.606705,28,40.131928
2.65248,43,40.231104
1.817084,44,40.309635
1.62025,45,40.382946
0.533505,18,40.412525
0.471293,32,40.489689
0.624858,43,40.563166
0.609029,37,40.626413
0.236889,40,40.719401
0.829336,38,40.784608
1.372009,44,40.858339
2.999034,49,40.965966
1.417461,45,41.038297
-0.937347,43,41.107596
2.503873,54,41.221976
0.845701,33,41.277982
1.665236,35,41.336531
1.066325,43,41.432628
-0.438177,35,41.490918
0.648456,31,41.541993
0.546664,46,41.617789
0.62976,42,41.710956
0.636541,53,41.801482
3.105905,72,41.945973
0.741409,44,42.019269
7.259414,121,42.253629
1.174244,49,42.338323
0.878826,24,42.402469
1.607046,47,42.483223
1.64632,33,42.539128
0.622301,24,42.580106
0.497726,26,42.649546
1.688576,62,42.754717
0.118904,39,42.821645
0.294716,27,42.891932
0.905111,49,42.976144
0.026161,16,43.003558
0.378639,46,43.106045
0.912018,34,43.165581
1.625341,39,43.230684
1.561954,50,43.327171
0.182104,44,43.429381
0.140877,17,43.458616
0.611693,39,43.525658
-0.177621,27,43.57214
1.33699,32,43.650679
0.818417,56,43.742889
0.470359,52,43.855952
0.244615,30,43.90546
1.436817,40,43.97294
0.324418,26,44.019086
0.800125,35,44.103422
2.815411,51,44.188759
0.730093,35,44.247899
0.644478,41,44.3423
-0.205592,43,44.412831
1.309316,36,44.472969
0.391523,18,44.503379
1.626817,45,44.602627
1.668854,51,44.686006
-0.809028,36,44.744704
3.277377,51,44.854246
1.748353,71,44.970888
-0.881404,43,45.07055
2.089949,44,45.141589
1.113828,41,45.208087
0.447781,26,45.273131
1.462531,47,45.353929
0.761486,36,45.413274
1.157072,32,45.466304
0.483668,32,45.544978
3.099622,81,45.682726
1.538597,41,45.778954
0.909682,46,45.856651
-0.031494,50,45.947305
1.486567,38,46.036672
0.34227,18,46.066504
-0.384199,86,46.20882
2.409108,45,46.309354
-1.862802,46,46.385315
-1.183997,49,46.490255
0.439661,38,46.554249
0.786328,30,46.605162
1.680077,42,46.676924
-0.491215,31,46.753634
1.646273,48,46.834909
-0.084452,33,46.890322
0.998638,49,46.99831
0.666257,38,47.06255
1.220702,40,47.129653
0.054069,33,47.210028
0.913519,32,47.263269
0.539571,47,47.342338
0.771129,50,47.451601
2.165475,46,47.528532
2.855554,61,47.629837
0.031133,58,47.757861
0.596613,86,47.92764
0.24646,17,47.956122
1.18452,36,48.015199
1.332656,70,48.129871
0.46447,26,48.200816
0.900548,38,48.264972
0.491576,18,48.294936
1.00506,28,48.340629
0.110935,11,48.359009
0.326323,39,48.452775
0.903035,41,48.521321
2.623668,49,48.603203
3.58015,97,48.790765
0.877916,29,48.839657
0.593354,42,48.933169
0.216553,12,48.952809
2.844694,42,49.021481
1.449954,61,49.148289
1.507308,39,49.21188
0.660482,36,49.271574
1.693285,61,49.409857
0.163979,34,49.467796
0.805247,52,49.55276
-0.29587,75,49.708764
0.18232,20,49.741752
-0.45048,27,49.785602
1.061624,40,49.881217
0.018849,36,49.940278
0.22281,13,49.962075
0.260103,34,50.018629
0.84306,63,50.151136
0.146463,11,50.170318
1.413052,44,50.246036
0.002388,40,50.338653
5.756451,71,50.461003
0.614412,34,50.519078
0.396552,55,50.635579
0.393008,41,50.705747
0.25648,13,50.728046
0.51614,43,50.824888
1.33865,51,50.913905
1.260496,54,51.006027
0.578825,39,51.09564
0.357632,42,51.164045
1.383293,56,51.258119
-0.252719,75,51.411378
2.11093,78,51.572071
-0.164382,33,51.62779
0.609862,36,51.688037
-0.042053,13,51.710104
-2.351967,65,51.846859
0.528903,36,51.910357
1.14362,53,52.000777
0.040777,69,52.135754
1.701143,54,52.223885
0.07227,9,52.238632
0.382887,51,52.348193
1.726009,40,52.414205
1.033886,33,52.469125
1.073475,40,52.559778
0.351335,32,52.613739
1.148229,33,52.670417
1.490977,99,52.864056
1.351067,30,52.916035
0.296197,43,53.013292
1.867493,44,53.086555
0.523748,60,53.187006
-1.702623,78,53.342849
0.931149,41,53.414363
0.072536,40,53.504551
-0.414369,64,53.61136
1.890666,47,53.715871
-0.609263,41,53.783308
0.049455,27,53.82812
2.11896,71,53.97233
2.897838,73,54.093078
4.945106,78,54.250333
0.850641,43,54.325769
0.898249,29,54.375688
3.647986,48,54.48057
1.842159,42,54.552263
0.690543,23,54.591481
1.476847,41,54.685036
2.163828,38,54.747761
-0.200187,44,54.820926
-0.238201,41,54.914494
2.679762,65,55.028331
-0.207866,24,55.06986
0.556124,23,55.109768
0.827756,30,55.18624
1.319428,52,55.274575
0.089004,12,55.297581
0.735084,47,55.403398
1.115425,32,55.457257
-0.454229,21,55.492522
1.103357,36,55.552222
1.836737,48,55.655593
1.576305,56,55.749145
0.31451,27,55.794771
1.116843,39,55.884253
0.718974,38,55.94816
2.347396,44,56.022215
0.018051,41,56.114078
1.346863,46,56.194997
-0.318416,39,56.260841
1.780946,34,56.317211
1.2372,36,56.401486
0.618874,48,56.48247
0.586513,47,56.563565
1.122962,40,56.652366
0.320851,46,56.728503
1.491183,72,56.873138
-0.41871,31,56.924793
0.702997,81,57.083437
2.066628,35,57.140918
0.886506,56,57.23555
0.621032,51,57.345747
0.449833,26,57.389109
0.786642,32,57.441664
2.022714,47,57.518774
1.031261,53,57.631028
0.49631,24,57.670623
0.391116,49,57.751776
4.373796,82,57.915771
0.592544,35,57.974742
0.038247,9,57.990231
0.665192,41,58.084686
1.042607,36,58.145347
1.843713,33,58.200609
-0.513612,116,58.417211
3.444754,77,58.569376
-0.06514,31,58.622054
1.705883,64,58.755004
-0.015416,32,58.80991
1.693108,36,58.871633
1.230682,32,58.92685
0.426224,17,58.956285
2.862424,51,59.069339
1.375235,42,59.139987
2.717585,55,59.255857
0.724898,36,59.315101
0.778744,24,59.354609
2.923131,42,59.424184
0.745552,23,59.487738
7.421408,118,59.709764
-0.697891,57,59.808671
0.581573,46,59.887222
0.59534,25,59.953177
0.358769,34,60.010721
1.237982,42,60.079502
0.585,31,60.130445
0.149385,12,60.150102
-0.052477,45,60.250968
1.641223,41,60.321009
0.878459,29,60.368813
0.72973,47,60.468662
0.981935,70,60.581597
1.932344,47,60.682924
1.271036,58,60.777531
2.193792,57,60.903313
0.085152,16,60.930257
-0.023636,49,61.012312
0.456727,35,61.071792
1.216535,36,61.159496
-0.083807,61,61.264337
1.678432,36,61.325157
-0.237473,28,61.395725
-0.485419,33,61.450777
4.037045,76,61.578809
3.159485,88,61.744491
1.857656,50,61.85115
1.688388,45,61.926154
1.070261,42,61.996962
0.376424,34,62.054012
2.488747,65,62.188306
-0.847029,45,62.262801
0.603619,53,62.380482
3.004563,69,62.49431
0.474231,99,62.685247
3.30614,74,62.839583
-0.238574,26,62.883778
0.015867,10,62.90076
-0.468968,47,62.980146
1.170675,47,63.08312
0.043972,31,63.134984
-0.663915,41,63.203711
0.10838,30,63.254327
0.008314,41,63.347031
-0.261492,29,63.395796
-0.767045,63,63.501485
0.78082,37,63.589992
2.231036,78,63.722967
0.672539,46,63.82778
0.028071,69,63.947538
0.770918,24,63.989029
0.516158,48,64.095443
0.051016,26,64.139495
-0.000155,11,64.158485
0.695676,20,64.192531
0.174963,10,64.209308
2.956773,51,64.319517
-0.476386,42,64.390304
4.167632,67,64.52606
0.851878,41,64.593477
0.135476,50,64.677755
2.988402,71,64.819051
1.15298,48,64.898461
0.614313,39,64.988677
0.024772,34,65.044613
2.471309,48,65.122988
3.414294,48,65.226786
-0.173813,51,65.311019
1.562444,65,65.419433
0.504001,37,65.505788
0.38705,48,65.585731
1.057567,60,65.713219
1.053484,53,65.805439
0.431306,39,65.872568
-0.834177,47,65.976266
0.892271,29,66.024628
0.390588,38,66.088413
5.155333,92,66.271235
0.94392,42,66.340125
-0.488691,41,66.434057
-1.525127,66,66.547427
0.35264,31,66.60031
0.986836,43,66.695673
1.721005,95,66.856826
0.150539,36,66.942527
1.531294,59,67.04243
3.826445,57,67.162759
1.408892,48,67.244088
2.717521,56,67.338579
0.530355,53,67.453033
1.158005,36,67.513926
-0.037289,43,67.587162
0.202005,35,67.674892
0.095359,7,67.686912
1.411328,51,67.775624
1.103483,42,67.868878
1.330364,34,67.927743
-0.358366,104,68.129516
2.991853,50,68.210557
1.396279,67,68.339657
0.148275,37,68.406774
-0.043098,48,68.486095
1.180299,38,68.549408
0.142343,11,68.592252
-0.472526,44,68.664964
2.783911,54,68.755754
0.085011,12,68.776309
2.201431,55,68.898253
0.032237,9,68.913496
-0.726577,71,69.033465
0.175708,11,69.073864
0.668762,28,69.12013
0.33786,48,69.199976
0.08664,42,69.270525
0.047846,10,69.31017
0.314255,44,69.383908
-0.19109,34,69.439792
-1.710102,81,69.598259
-0.599371,60,69.697721
1.683594,68,69.832906
1.446938,67,69.941959
1.524057,45,70.041645
-0.007614,40,70.109432
1.347115,56,70.202852
2.689985,42,70.299484
0.34574,17,70.32841
0.105456,9,70.343523
0.063416,11,70.361742
2.607977,80,70.521218
1.623741,67,70.635862
0.686247,50,70.743683
-1.85981,62,70.850446
1.809735,71,70.99579
0.056158,49,71.07673
0.51425,39,71.141361
3.709704,70,71.288038
1.048486,33,71.343232
1.578851,54,71.456836
0.932295,45,71.53092
-0.096608,49,71.613094
2.041607,46,71.716166
0.799017,45,71.793949
2.959771,47,71.874739
0.99498,33,71.957747
2.470096,44,72.03129
1.895666,48,72.111558
1.640854,62,72.244323
2.601743,64,72.353943
0.213021,45,72.456199
0.56877,24,72.498086
2.194172,55,72.5946
2.078197,41,72.687707
1.145844,36,72.746101
4.317364,56,72.839594
0.168186,16,72.866509
0.497478,50,72.975134
1.212963,73,73.097697
0.146519,11,73.116154
0.597689,58,73.241569
7.172799,90,73.418874
1.126681,32,73.474017
6.22824,87,73.651307
1.849147,79,73.78216
0.72085,48,73.889468
-2.033287,68,74.003621
1.409178,31,74.058558
1.700939,80,74.217853
2.305459,45,74.292659
3.221946,88,74.465375
0.095763,9,74.480799
3.353463,44,74.555046
-0.922235,38,74.642125
6.057253,84,74.782045
1.774481,38,74.870576
1.528049,48,74.951753
8.036757,127,75.199569
1.102431,32,75.253386
1.268035,57,75.380596
1.936766,75,75.508603
0.532875,42,75.604168
1.421891,63,75.710608
2.920973,48,75.813262
1.147038,32,75.869098
2.735681,61,75.980983
1.686947,56,76.101741
0.119427,15,76.127223
4.10562,84,76.270736
2.365797,50,76.380071
0.521427,35,76.441894
0.071388,39,76.5083
0.515268,40,76.600729
2.396348,80,76.734935
0.494494,50,76.842102
1.594899,46,76.917529
3.693519,49,76.997619
-0.288303,34,77.078413
3.002272,60,77.175533
2.115678,42,77.272648
0.889972,41,77.341526
0.906075,33,77.396465
-0.073018,35,77.454865
0.647714,40,77.544655
2.285926,49,77.628288
0.081115,10,77.645964
0.068698,11,77.665434
-0.386256,40,77.760118
0.332657,16,77.786258
1.614796,41,77.861591
0.21429,35,77.920252
2.64962,62,78.049738
1.118939,62,78.154732
0.132227,14,78.178565
1.332709,56,78.296315
-1.284368,53,78.385132
-0.555698,98,78.571942
1.702433,52,78.66041
0.126243,13,78.68272
1.29949,40,78.774446
3.694225,57,78.869749
-0.019932,12,78.890162
0.577298,57,79.011638
0.378063,43,79.084555
0.886919,42,79.156072
2.359042,43,79.254292
0.27609,26,79.302624
1.341124,55,79.404897
1.709048,33,79.493377
0.414368,36,79.555136
1.060969,52,79.644331
0.77817,36,79.737481
0.885043,37,79.800244
0.936515,41,79.870532
0.770107,34,79.955639
3.610128,63,80.061124
4.282246,58,80.158262
0.886872,42,80.256282
1.159171,59,80.357564
2.120653,36,80.445119
1.485419,44,80.51774
2.436955,59,80.61757
0.372297,41,80.713028
2.193925,76,80.839691
-0.377909,39,80.931255
2.672422,63,81.03795
-0.482385,47,81.117858
1.478442,42,81.213117
0.468525,70,81.329254
-0.654714,36,81.414693
-0.903323,56,81.507463
0.184368,31,81.559867
-0.158794,83,81.726266
0.163994,42,81.798063
2.357005,78,81.949245
5.548102,77,82.078541
5.143126,75,82.226718
0.505287,30,82.275709
1.385108,35,82.357506
0.088151,13,82.379515
3.258464,99,82.548913
0.174882,11,82.568446
0.386772,36,82.654541
1.344036,56,82.74911
1.726837,53,82.861511
2.642241,64,82.971887
0.128171,17,83.001841
2.706297,43,83.101472
0.493389,33,83.157431
0.397584,16,83.184946
1.586894,39,83.252397
1.191683,48,83.360025
1.144432,27,83.405431
0.388167,45,83.482754
0.793546,37,83.570071
2.187316,77,83.700091
0.946346,30,83.749354
1.340056,53,83.863806
1.250666,38,83.929029
0.640568,45,84.006657
-0.33569,35,84.08888
1.261879,39,84.152736
-0.729478,32,84.205114
0.848019,29,84.252682
2.243942,54,84.368789
0.874721,25,84.410834
1.652893,39,84.47813
1.586668,49,84.589542
4.059995,69,84.707772
-0.982859,53,84.824594
1.880017,56,84.920711
2.562657,54,85.040414
1.308223,48,85.123111
0.694547,31,85.175668
2.491196,54,85.291669
0.73812,66,85.406049
2.241736,52,85.517808
2.735567,63,85.626042
1.793334,46,85.704942
-0.032353,46,85.810079
0.776113,49,85.894202
2.033197,50,86.006261
0.930209,39,86.075281
0.058296,8,86.089388
1.697041,44,86.165844
1.816374,85,86.337244
3.707097,75,86.462823
2.008316,49,86.568944
1.345827,31,86.621651
1.084307,52,86.731796
-0.078684,23,86.772387
0.07706,9,86.788059
1.115731,43,86.861402
0.29296,45,86.93645
0.983145,49,87.044319
0.240417,27,87.090185
1.380959,55,87.184508
0.135512,12,87.228662
-0.10931,33,87.286475
1.323609,37,87.353799
0.005712,9,87.369454
-0.473006,37,87.433771
0.026364,8,87.470771
2.42615,46,87.547459
1.843829,36,87.607378
-0.070105,26,87.64995
0.085452,11,87.668104
-0.94955,39,87.757032
-0.137541,36,87.81722
2.073926,78,87.969846
1.104293,48,88.05286
0.926532,45,88.128568
3.918868,124,88.359196
-1.056727,55,88.474995
-0.403729,47,88.554142
-0.088436,36,88.614584
0.489058,59,88.739836
0.438445,44,88.813295
1.58844,53,88.923107
0.795712,32,88.976693
0.731244,36,89.037465
-0.022901,10,89.054335
0.824172,44,89.154712
-0.480349,55,89.250501
6.454116,92,89.432409
3.599074,50,89.518147
2.475283,68,89.659714
3.24642,52,89.749027
1.449005,69,89.889825
0.273449,13,89.911921
3.209976,51,89.997686
1.219627,55,90.115113
0.273956,45,90.191871
1.620108,52,90.278314
1.078059,43,90.37517
1.223716,39,90.44178
2.075166,44,90.516489
1.387759,45,90.614639
0.244093,33,90.669389
3.996263,73,90.795748
5.309383,111,91.007137
-0.012861,40,91.100782
0.100841,9,91.115976
1.013827,49,91.198172
0.448311,21,91.234057
3.508851,56,91.355754
3.808893,62,91.459831
0.08387,39,91.54924
1.622795,40,91.617898
1.278839,48,91.697387
1.411713,46,91.799068
0.470843,36,91.858514
0.981008,39,91.923337
1.161947,63,92.051657
8.41118,110,92.233951
0.466821,64,92.361762
2.023075,52,92.447381
3.925503,64,92.57698
2.916043,72,92.696089
0.099716,10,92.737231
4.127535,83,92.875368
2.652939,57,93.001512
3.259259,87,93.149315
2.511118,73,93.29853
0.801282,50,93.379856
3.419674,56,93.496964
2.717708,66,93.605131
0.291375,18,93.635275
0.078431,10,93.6525
1.854296,60,93.775787
0.186164,47,93.853993
-0.984297,50,93.959908
0.456793,39,94.024288
0.346842,39,94.088256
6.028905,177,94.440484
1.811121,48,94.522152
0.204095,48,94.604233
0.135895,9,94.619734
1.944266,60,94.747894
-1.172157,43,94.82334
